Is movie or series,ID,Name,Genre,Length,Rating,Episode name,Season,Episode number,Release year,Budget
M,Kimi_no_na_wa,Kimi no na wa,Anime,106,5,Kimi no na wa,0,0,2016,7000000
S,Love_live,Love Live!,Anime,26,4,Come True! Our Dreams!,1,1,2013,2000000
S,Love_live,Love Live!,Anime,26,4,Let's Start Becoming Idols!,1,2,2013,2000000
S,Love_live,Love Live!,Anime,26,5,First Live,1,3,2013,2000000
S,Love_live,Love Live!,Anime,26,5,MakiRinPana,1,4,2013,2000000
S,Love_live,Love Live!,Anime,26,3,Nico Attacks,1,5,2013,2000000
S,Love_live,Love Live!,Anime,26,3,Who'll Be the Center?,1,6,2013,2000000
S,Love_live,Love Live!,Anime,26,4,Elichika,1,7,2013,2000000
S,Love_live,Love Live!,Anime,26,4,What I Want To Do Is,1,8,2013,2000000
S,Love_live,Love Live!,Anime,26,3,Wonder Zone,1,9,2013,2000000
S,Love_live,Love Live!,Anime,26,3,No Upperclassmen Allowed!,1,10,2013,2000000
S,Love_live,Love Live!,Anime,26,3,The Greatest Live Performance,1,11,2013,2000000
S,Love_live,Love Live!,Anime,26,4,Friends,1,12,2013,2000000
S,Love_live,Love Live!,Anime,26,5,u's Music Start!!,1,13,2013,2000000
S,Love_live,Love Live!,Anime,26,4,Love Live! Once Again,2,1,2014,2000000
S,Love_live,Love Live!,Anime,26,4,Aim for Victory,2,2,2014,2000000
S,Love_live,Love Live!,Anime,26,5,The Door to Our Dreams,2,3,2014,2000000
S,Love_live,Love Live!,Anime,26,3,No. 1 Idol in the Universe,2,4,2014,2000000
S,Love_live,Love Live!,Anime,26,5,A New Me,2,5,2014,2000000
S,Love_live,Love Live!,Anime,26,4,Happy Halloween,2,6,2014,2000000
S,Love_live,Love Live!,Anime,26,4,We Have to Do Something,2,7,2014,2000000
S,Love_live,Love Live!,Anime,26,4,My Wish,2,8,2014,2000000
S,Love_live,Love Live!,Anime,26,5,Melody of the Heart,2,9,2014,2000000
S,Love_live,Love Live!,Anime,26,5,u's,2,10,2014,2000000
S,Love_live,Love Live!,Anime,26,5,That Which We Decided,2,11,2014,2000000
S,Love_live,Love Live!,Anime,26,5,Last Live,2,12,2014,2000000
S,Love_live,Love Live!,Anime,26,5,Come True! Everyone's Dream,2,13,2014,2000000
S,Love_live_sunshine,Love Live! Sunshine,Anime,26,4,I Want to Shine!!,1,1,2016,2000000
S,Love_live_sunshine,Love Live! Sunshine,Anime,26,4,Catch the Transfer Student!,1,2,2016,2000000
S,Love_live_sunshine,Love Live! Sunshine,Anime,26,5,First Step,1,3,2016,2000000
S,Love_live_sunshine,Love Live! Sunshine,Anime,26,3,Two Girl's Feelings,1,4,2016,2000000
S,Love_live_sunshine,Love Live! Sunshine,Anime,26,3,Yohane Descends,1,5,2016,2000000
S,Love_live_sunshine,Love Live! Sunshine,Anime,26,3,Let's Make a PV,1,6,2016,2000000
S,Love_live_sunshine,Love Live! Sunshine,Anime,26,4,TOKYO,1,7,2016,2000000
S,Love_live_sunshine,Love Live! Sunshine,Anime,26,5,Isn't it Frustating?,1,8,2016,2000000
S,Love_live_sunshine,Love Live! Sunshine,Anime,26,5,Young DREAMER,1,9,2016,2000000
S,Love_live_sunshine,Love Live! Sunshine,Anime,26,3,We've Got Stewshine,1,10,2016,2000000
S,Love_live_sunshine,Love Live! Sunshine,Anime,26,5,Aye-Aye My Friend,1,11,2016,2000000
S,Love_live_sunshine,Love Live! Sunshine,Anime,26,4,It's Time to Fly,1,12,2016,2000000
S,Love_live_sunshine,Love Live! Sunshine,Anime,26,5,Sunshine!!,1,13,2016,2000000
S,Love_live_sunshine,Love Live! Sunshine,Anime,26,4,Next Step,2,1,2017,2000000
S,Love_live_sunshine,Love Live! Sunshine,Anime,26,3,The Sound of Rain,2,2,2017,2000000
S,Love_live_sunshine,Love Live! Sunshine,Anime,26,5,Rainbow,2,3,2017,2000000
S,Love_live_sunshine,Love Live! Sunshine,Anime,26,5,Don't Call Me Dia-san,2,4,2017,2000000
S,Love_live_sunshine,Love Live! Sunshine,Anime,26,3,Taking in A Dog,2,5,2017,2000000
S,Love_live_sunshine,Love Live! Sunshine,Anime,26,4,Aqours WAVE,2,6,2017,2000000
S,Love_live_sunshine,Love Live! Sunshine,Anime,26,4,The Time Left,2,7,2017,2000000
